CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
7037.94099594209, 7037.94099594209, 430.028518682128, 42.9487715671942, 7510.91828619141
7153.56431230399, 7153.56431230399, 431.830314151467, 41.699386388158, 7627.09401284362
7269.1876286659, 7269.1876286659, 434.232708110585, 40.4940819037817, 7743.91441868027
7383.80552488553, 7383.80552488553, 436.635102069703, 39.2854411158488, 7859.72606807108
7498.42342110516, 7498.42342110516, 439.638094518601, 38.1131020764593, 7976.17461770022
7613.04131732479, 7613.04131732479, 442.641086967498, 36.9210563735748, 8092.60346066586
7726.65379340214, 7726.65379340214, 445.644079416396, 35.722130625014, 8208.02000344355
7839.26084933721, 7839.26084933721, 449.247670355073, 34.5627910689124, 8323.07131076119
7951.86790527228, 7951.86790527228, 452.85126129375, 33.3802183937431, 8438.09938495977
8063.46954106508, 8063.46954106508, 457.055450722207, 32.2299024151366, 8552.75489420242
